Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,nome_local
40000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5486,-46.6651,MERCADO LIVRE ARENA PACAEMBU
40000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.54825,-46.66580,MERCADO LIVRE ARENA DO PACAEMBU
45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,ALLIANZ PARQUE
49000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.54534,-46.47476,NEO QUIMICA ARENA
67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,ESTADIO DO MORUMBI
67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,MORUMBIS
67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,ESTADIO MORUMBIS
100000.0,ARENAS E ESTADIOS,CENTRO DE EXPOSICOES,-23.64595,-46.62967,SAO PAULO EXPO
100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.5079,-46.6379,SAMBODROMO DO ANHEMBI
100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,AUTODROMO DE INTERLAGOS
