ano,popularidade,lotacao,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2023,75.0,8000.0,DIA UTIL,JANEIRO,249.75,Outros
2023,62.0,6124.0,DIA UTIL,MAIO,-25.75,9.0
2025,61.0,1500.0,DIA UTIL,NOVEMBRO,124.33333333333331,Outros
2025,71.0,2950.0,DIA UTIL,JULHO,291.5,6.0
2022,63.0,6000.0,DIA UTIL,MARÇO,-77.0,1.0
2022,63.0,46881.0,DIA UTIL,ABRIL,-1088.0,1.0
2022,63.0,8000.0,DIA UTIL,ABRIL,13.5,1.0
2022,63.0,8000.0,DIA UTIL,MAIO,-13.0,1.0
2022,63.0,4000.0,DIA UTIL,JUNHO,-289.0,1.0
2022,63.0,6500.0,DIA UTIL,JULHO,-108.0,1.0
2022,63.0,8000.0,FIM DE SEMANA,AGOSTO,39.5,1.0
2022,63.0,8000.0,FIM DE SEMANA,AGOSTO,3.0,1.0
2022,63.0,8000.0,DIA UTIL,NOVEMBRO,41.5,1.0
2024,63.0,50000.0,FIM DE SEMANA,JANEIRO,109.16666666666669,1.0
2024,63.0,47000.0,FIM DE SEMANA,JANEIRO,0.1666666666666666,1.0
2024,63.0,7000.0,FIM DE SEMANA,DEZEMBRO,432.5,1.0
2024,63.0,7000.0,FIM DE SEMANA,DEZEMBRO,0.5,1.0
2025,63.0,6800.0,FIM DE SEMANA,MARÇO,49.0,1.0
2023,64.0,8000.0,DIA UTIL,JULHO,249.75,Outros
2025,64.0,3900.0,FIM DE SEMANA,JULHO,121.66666666666669,Outros
2024,72.0,8000.0,DIA UTIL,ABRIL,-125.25,6.0
2022,75.0,2200.0,FIM DE SEMANA,MAIO,499.5,7.0
2023,75.0,20000.0,FIM DE SEMANA,ABRIL,114.66666666666669,7.0
2023,75.0,90000.0,FIM DE SEMANA,AGOSTO,22.2,7.0
2024,77.0,45000.0,DIA UTIL,ABRIL,-102.25,6.0
2022,81.0,3000.0,FERIADO NACIONAL,MARÇO,-305.5,10.0
2022,81.0,45000.0,FIM DE SEMANA,AGOSTO,-46.25,10.0
2022,81.0,45000.0,FIM DE SEMANA,DEZEMBRO,29.75,10.0
2023,81.0,7000.0,FERIADO NACIONAL,FEVEREIRO,178.5,10.0
2025,81.0,40000.0,FIM DE SEMANA,ABRIL,280.0,10.0
2025,81.0,40000.0,FIM DE SEMANA,ABRIL,0.3333333333333333,10.0
2022,64.0,10000.0,FIM DE SEMANA,OUTUBRO,-444.5,5.0
2023,65.0,8000.0,FIM DE SEMANA,OUTUBRO,-212.33333333333331,11.0
2024,65.0,7452.542372881356,FIM DE SEMANA,NOVEMBRO,199.5,11.0
2025,65.0,8000.0,FIM DE SEMANA,SETEMBRO,100.33333333333331,11.0
2022,64.0,2960.0,FIM DE SEMANA,SETEMBRO,-137.0,Outros
2023,64.0,3000.0,DIA UTIL,NOVEMBRO,249.75,Outros
2022,63.0,8000.0,FIM DE SEMANA,JULHO,-178.5,9.0
2023,63.0,7700.0,FIM DE SEMANA,MARÇO,122.5,9.0
2023,63.0,6000.0,FIM DE SEMANA,OUTUBRO,36.333333333333336,9.0
2024,63.0,30000.0,FIM DE SEMANA,JUNHO,-90.8,9.0
2022,66.0,7000.0,DIA UTIL,DEZEMBRO,-0.75,0.0
2022,66.0,45000.0,FIM DE SEMANA,DEZEMBRO,-853.0,0.0
2025,66.0,6500.0,FIM DE SEMANA,ABRIL,122.42857142857144,0.0
2022,70.0,3200.0,DIA UTIL,MARÇO,-442.6666666666667,3.0
2025,66.0,21000.0,FIM DE SEMANA,NOVEMBRO,377.0,3.0
2025,73.0,1940.0,FIM DE SEMANA,SETEMBRO,334.5,3.0
2025,71.0,2102.0,DIA UTIL,ABRIL,112.66666666666669,3.0
2023,72.0,48000.0,DIA UTIL,OUTUBRO,187.33333333333331,3.0
2023,72.0,48000.0,DIA UTIL,OUTUBRO,0.3333333333333333,3.0
2024,75.0,8000.0,FIM DE SEMANA,NOVEMBRO,6.0,14.0
2022,80.0,0.0,DIA UTIL,MARÇO,-367.0,3.0
2022,77.0,34000.0,DIA UTIL,JUNHO,0.0,Outros
2023,90.0,40000.0,FIM DE SEMANA,NOVEMBRO,-412.0,Outros
2025,90.0,55000.0,DIA UTIL,SETEMBRO,173.75,Outros
