nome,generos,popularidade,seguidores,imagem,genero_cluster
CANSERBERO,LATIN HIP HOP,74,16494444,https://i.scdn.co/image/ab6761610000e5eba91405d63c939682e4efdcbc,6.0
VISHAL-SHEKHAR,BOLLYWOOD,80,16415210,https://i.scdn.co/image/ab6761610000e5eb90b6c3d093f9b02aad628eaf,2.0
FIFTH HARMONY,POP,69,16213227,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97,6.0
CHRISTIAN NODAL,BANDA,79,16159207,https://i.scdn.co/image/ab6761610000e5ebb81c7e6a8d9beb21d3489ef0,2.0
AEROSMITH,CLASSIC ROCK,76,16124039,https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d,2.0
LED ZEPPELIN,CLASSIC ROCK,77,16039862,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,2.0
JUSTIN TIMBERLAKE,POP,83,15918172,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e,6.0
BON JOVI,GLAM METAL,79,15913487,https://i.scdn.co/image/ab6761610000e5eb52aade0d2ea19706074da4b9,Outros
SNOOP DOGG,G-FUNK,82,15833454,https://i.scdn.co/image/ab6761610000e5ebc19a88576ebe6fcbb325c297,2.0
LIL PEEP,EMO RAP,83,15818928,https://i.scdn.co/image/ab6761610000e5eb3d9d59e200e82fa53d8781a1,2.0
MANUEL TURIZO,REGGAETON,82,15800173,https://i.scdn.co/image/ab6761610000e5eb7bdd2cd65be6acd55ccd57d3,Outros
THE ROLLING STONES,CLASSIC ROCK,78,15772207,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8,2.0
MEGHAN TRAINOR,POP,76,15748250,https://i.scdn.co/image/ab6761610000e5eb240d44db603d49305d3d7b56,6.0
GRUPO FIRME,BANDA,81,15692211,https://i.scdn.co/image/ab6761610000e5ebcd251af2268da17c3d967164,2.0
POP SMOKE,BROOKLYN DRILL,77,15662188,https://i.scdn.co/image/ab6761610000e5eb597f9edd2cd1a892d4412b09,2.0
