data,ano,nome_local,nome,Categoria_Local,Tipo_Espaco,Latitude,Longitude,generos,popularidade,seguidores,festival,lotacao,setor,preco,preco_medio,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct,arrecadacao_estimada,distancia_dias_anterior
2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,62963940.0,0.0
2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,69421780.0,0.0
2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,37939810.0,0.0
2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,43232250.0,-547.0
2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,71809500.0,0.0
2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,54956250.0,0.0
2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,35904750.0,0.0
2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,1.0936567164179105,43232250.0,1.0
2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,1.0936567164179105,71809500.0,0.0
2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,1.0936567164179105,54956250.0,0.0
2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVA MODERADA,MARÇO,1.0936567164179105,35904750.0,0.0
2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,43232250.0,2.0
2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,71809500.0,0.0
2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,54956250.0,0.0
2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SEGUNDA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936567164179105,35904750.0,0.0
2023-03-14,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73276.0,Pista,590.0,702.5,COMUM,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936716417910448,43232840.0,1.0
2023-03-14,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73276.0,Pista Premium,980.0,702.5,VIP,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936716417910448,71810480.0,0.0
2023-03-14,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73276.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936716417910448,54957000.0,0.0
2023-03-14,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73276.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,MARÇO,1.0936716417910448,35905240.0,0.0
2023-03-17,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista,590.0,702.5,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0936567164179105,43232250.0,3.0
2023-03-17,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO LEVE,MARÇO,1.0936567164179105,71809500.0,0.0
