,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners,lotacao,setor,preco,preco_medio,nome_setores,Setor_id,Nome_Setor,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct
31,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Pista,650.0,802.0,PISTA,S001,PISTA,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388
32,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Pista Premium,1250.0,802.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388
33,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Cadeira Inferior,780.0,802.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388
34,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Cadeira Superior,860.0,802.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388
35,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Arquibancada,470.0,802.0,ARQUIBANCADA,S011,ARQUIBANCADA,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVISCO INTENSO,OUTUBRO,1.204820895522388
36,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Pista,650.0,802.0,PISTA,S001,PISTA,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388
37,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Pista Premium,1250.0,802.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388
38,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Cadeira Inferior,780.0,802.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388
39,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Cadeira Superior,860.0,802.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388
40,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False,80723.0,Arquibancada,470.0,802.0,ARQUIBANCADA,S011,ARQUIBANCADA,COMUM,SABADO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388
