nome,id_spotify,generos,popularidade,seguidores,imagem,fonte
Marcos & Belutti,0NsJZ5PMjqghGDuMzY7CuT,"sertanejo, sertanejo universitário",63,5550697,https://i.scdn.co/image/ab6761610000e5eb52b5d3dd8969c777a41e8105,nova consulta
Simone & Simaria,0MInKJqZscEeNc5K3K0mkE,"sertanejo, sertanejo universitário, forró, arrocha, brazilian pop",62,5421427,https://i.scdn.co/image/ab6761610000e5eba108594c6d9e69bd76ee9ce0,nova consulta
ATEEZ,68KmkJeZGfwe1OUaivBa2L,"k-pop, noise music",75,5416872,https://i.scdn.co/image/ab6761610000e5eba1e2f0d5061ccdcb38398d94,nova consulta
R.E.M.,4KWTAlx2RvbpseOGMEmROg,"jangle pop, alternative rock, rock",74,5402769,https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f,nova consulta
Air Supply,4xXCRXOfQKQ2gjWxNhNzYW,soft rock,72,5360558,https://i.scdn.co/image/ab6761610000e5eb79bedf7da0a906b84128f3af,nova consulta
Melim,6uYrXgVHctAJtIdSODcyLJ,"mpb, brazilian pop, nova mpb",64,5311585,https://i.scdn.co/image/ab6761610000e5eb3f0c6b68f45a8f1111b5f742,nova consulta
Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,"brazilian funk, funk consciente, trap funk",74,5291358,https://i.scdn.co/image/ab6761610000e5ebab559c0d48ef955cecd4555d,nova consulta
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,"grunge, post-grunge, alternative metal",72,5190700,https://i.scdn.co/image/ab6761610000e5eb5a865295befda9e060a72cb0,nova consulta
MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,"k-pop, noise music",61,5157556,https://i.scdn.co/image/ab6761610000e5eb28526e1eda2f78513f024fba,nova consulta
Soundgarden,5xUf6j4upBrXZPg6AI4MRK,"grunge, post-grunge, hard rock",70,5132378,https://i.scdn.co/image/ab6761610000e5ebafa254b2a224584485286526,nova consulta
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"funk, disco",74,5122394,https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92,nova consulta
Zezé Di Camargo & Luciano,4dyYjqmYDjegbB3F2mbvcT,"sertanejo tradicional, sertanejo",74,5093659,https://i.scdn.co/image/ab6761610000e5eb5542815361f8e1c9d4026efe,nova consulta
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,r&b,66,5060684,https://i.scdn.co/image/ab6761610000e5ebd2493cea701d45401cc79ffd,nova consulta
ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,"southern rock, classic rock, blues rock, rock",69,4961597,https://i.scdn.co/image/ab6772690000c46cad8fafe5fa4ad82e7770f2ae,nova consulta
L7NNON,0JjPiLQNgAFaEkwoy56B1C,"brazilian trap, brazilian hip hop, trap funk, trap, funk carioca",71,4845751,https://i.scdn.co/image/ab6761610000e5eb361b418f923daf2dfe03f7d4,nova consulta
IZA,3zgnrYIltMkgeejmvMCnes,"brazilian pop, funk pop",61,4755251,https://i.scdn.co/image/ab6761610000e5ebdf5471e7c451d863458eba3c,nova consulta
AURORA,1WgXqy2Dd70QQOU7Ay074N,"norwegian pop, art pop",74,4743449,https://i.scdn.co/image/ab6761610000e5ebeefc6f13cec94fe613a6c1c8,nova consulta
Teto,68YeXpLt3jB7JHQS5ZjMGo,"brazilian trap, trap, trap funk, brazilian hip hop",71,4673634,https://i.scdn.co/image/ab6761610000e5eb62f0237b5577c7c670457267,nova consulta
Shinedown,70BYFdaZbEKbeauJ670ysI,"post-grunge, alternative metal, rock",72,4565359,https://i.scdn.co/image/ab6761610000e5ebcf14abc10b18bc3c2373491f,nova consulta
Bruna Karla,0YdeGzSneJdP1NEKY3EFlR,"gospel, brazilian gospel, worship, pentecostal",61,4564307,https://i.scdn.co/image/ab6761610000e5ebda4aaaa76080258d5c505f30,nova consulta
Lionel Richie,3gMaNLQm7D9MornNILzdSl,motown,71,4562452,https://i.scdn.co/image/ab6761610000e5eb002684808eb17d8b3645b57c,nova consulta
Toni Braxton,3X458ddYA2YcVWuVIGGOYe,r&b,67,4559484,https://i.scdn.co/image/ab6761610000e5eb89773feeaeff0e1cb4951d37,nova consulta
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,"heavy metal, metal, hard rock, glam metal",66,4544011,https://i.scdn.co/image/ab6761610000e5eb4b3cfc24737acb15e73e8bd6,nova consulta
TLC,0TImkz4nPqjegtVSMZnMRq,,69,4531711,https://i.scdn.co/image/ab6761610000e5eb7356ae4581e46319f99c813a,nova consulta
Motörhead,1DFr97A9HnbV3SKTJFu62M,"heavy metal, metal, speed metal, hard rock, rock",65,4498719,https://i.scdn.co/image/ab6761610000e5eb4994e37b0535a101ff8a8d52,nova consulta
