ano,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,lotacao,preco_medio,dia_semana,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,351.6666666666667,SEXTA-FEIRA,DIA UTIL,JUNHO,-167.28571428571428,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,351.6666666666667,SABADO,FIM DE SEMANA,JUNHO,0.14285714285714285,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,351.6666666666667,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,21.857142857142858,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,351.6666666666667,SABADO,FIM DE SEMANA,NOVEMBRO,0.14285714285714285,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,351.6666666666667,DOMINGO,FIM DE SEMANA,NOVEMBRO,0.14285714285714285,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,720.0,SEXTA-FEIRA,DIA UTIL,AGOSTO,135.5,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,720.0,SABADO,FIM DE SEMANA,AGOSTO,0.5,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,720.0,SABADO,FIM DE SEMANA,NOVEMBRO,45.5,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,720.0,SEGUNDA-FEIRA,DIA UTIL,NOVEMBRO,1.0,11.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,BRAZILIAN TRAP,67.0,1473784.0,20000.0,110.0,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,811.0,8.0
2024,MEDIAS CASAS,CASA DE SHOWS,FORRO,66.0,1528855.0,4000.0,200.0,SEGUNDA-FEIRA,DIA UTIL,JULHO,-397.0,8.0
2024,MEDIAS CASAS,CASA DE SHOWS,FORRO,66.0,1528855.0,3000.0,200.0,SABADO,FIM DE SEMANA,NOVEMBRO,131.0,8.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,FORRO,66.0,1528855.0,15000.0,286.6666666666667,SABADO,FIM DE SEMANA,AGOSTO,0.0,8.0
2022,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,BRAZILIAN ROCK,64.0,3035736.0,8000.0,280.0,DOMINGO,FIM DE SEMANA,MARÇO,-31.0,9.0
2022,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,BRAZILIAN ROCK,64.0,3035736.0,2000.0,495.0,SABADO,FIM DE SEMANA,MAIO,-399.3333333333333,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN ROCK,64.0,3035736.0,8000.0,220.0,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,78.66666666666667,9.0
2024,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN ROCK,64.0,3035736.0,8000.0,220.0,SABADO,FIM DE SEMANA,JUNHO,147.25,9.0
2024,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN ROCK,64.0,3035736.0,8000.0,220.0,DOMINGO,FIM DE SEMANA,JUNHO,0.25,9.0
2025,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN ROCK,64.0,3035736.0,8000.0,313.3333333333333,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,167.33333333333334,9.0
2025,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN ROCK,64.0,3035736.0,7500.0,313.3333333333333,SABADO,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,9.0
2023,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,POP,71.0,5150220.0,50000.0,1495.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,46.0,6.0
2023,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN POP,66.0,496725.0,3200.0,100.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,-496.0,1.0
2024,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN POP,66.0,496725.0,2557.894736842105,140.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,364.0,1.0
2025,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN POP,66.0,496725.0,2700.0,240.0,DOMINGO,FIM DE SEMANA,AGOSTO,238.0,1.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,SERTANEJO,63.0,3105208.0,40000.0,666.6666666666666,SABADO,FIM DE SEMANA,ABRIL,-0.3333333333333333,10.0
2022,MEDIAS CASAS,CASA DE SHOWS,HYPERPOP,83.0,6405399.0,1000.0,455.0,QUARTA-FEIRA,DIA UTIL,NOVEMBRO,499.5,Outros
2023,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,0,80.0,10567952.0,25000.0,250.0,DOMINGO,FIM DE SEMANA,MAIO,-1.0,3.0
2023,MEDIAS CASAS,CASA DE SHOWS,0,80.0,10567952.0,3200.0,390.0,TERCA-FEIRA,DIA UTIL,MAIO,-89.0,3.0
2025,MEDIAS CASAS,CASA DE SHOWS,0,80.0,10567952.0,8800.0,695.0,DOMINGO,FIM DE SEMANA,NOVEMBRO,229.25,3.0
