nome;data;ano;nome_local;lotacao
HOZIER;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
LIMP BIZKIT;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
KINGS OF LEON;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
THIRTY SECONDS TO MARS;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
PIERCE THE VEIL;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
XAMA;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
TITAS;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
BK;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
VICTOR & LEO;23/03/2024;2024;MORUMBIS;45000
JESSIE REYEZ;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
TIMMY TRUMPET;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
ABOVE & BEYOND;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
LOUD LUXURY;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MC LUANNA;23/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
SZA;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
SAM SMITH;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
HUNGRIA;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MC LIVINHO;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
WESTLIFE;24/03/2024;2024;ESPACO UNIMED;7700
TZ DA CORONEL;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
GRETA VAN FLEET;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MC DANIEL;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
PHOENIX;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
VULGO FK;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
GILBERTO GIL;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
NOTHING BUT THIEVES;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
OMAR APOLLO;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
DAYGLOW;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MEDUZA;24/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
BLACK VEIL BRIDES;26/03/2024;2024;TERRA SP;5500
AJULIACOSTA;29/03/2024;2024;AUDIO;3000
OS PARALAMAS DO SUCESSO;06/04/2024;2024;ESPACO UNIMED;8000
SO PRA CONTRARIAR;06/04/2024;2024;ALLIANZ PARQUE;40000
CLAUDIA LEITTE;09/04/2024;2024;VIBRA SAO PAULO;7000
PITTY;12/04/2024;2024;ESPACO UNIMED;8000
ROYAL BLOOD;13/04/2024;2024;AUDIO;2700
PITTY;14/04/2024;2024;ESPACO UNIMED;8000
MAGIC!;14/04/2024;2024;AUDIO;
JONAS BROTHERS;16/04/2024;2024;ALLIANZ PARQUE;45000
TURNSTILE;16/04/2024;2024;TOKIO MARINE HALL;3000
TOM JONES;17/04/2024;2024;ESPACO UNIMED;
MEGADETH;18/04/2024;2024;ESPACO UNIMED;8000
AIR SUPPLY;21/04/2024;2024;ESPACO UNIMED;7500
WITHIN TEMPTATION;27/04/2024;2024;MEMORIAL DA AMERICA LATINA;15000
VANESSA DA MATA;27/04/2024;2024;TOKIO MARINE HALL;
KILLSWITCH ENGAGE;28/04/2024;2024;MEMORIAL DA AMERICA LATINA;15000
JESSIE J;30/04/2024;2024;ESPACO UNIMED;8000
LULU SANTOS;04/05/2024;2024;ESPACO UNIMED;
LANY;07/05/2024;2024;AUDIO;
ASHNIKKO;09/05/2024;2024;AUDIO;1222
LOUIS TOMLINSON;11/05/2024;2024;ALLIANZ PARQUE;16406
DJAVAN;11/05/2024;2024;ESPACO UNIMED;8000
GIANT ROOKS;11/05/2024;2024;ALLIANZ PARQUE;16406
DJAVAN;12/05/2024;2024;ESPACO UNIMED;7500
GILSONS;17/05/2024;2024;ESPACO UNIMED;7850
PABLLO VITTAR;18/05/2024;2024;VALE DO ANHANGABAU;20000
DJONGA;18/05/2024;2024;VALE DO ANHANGABAU;20000
LEO SANTANA;18/05/2024;2024;VALE DO ANHANGABAU;20000
MATUE;19/05/2024;2024;VALE DO ANHANGABAU;20000
DENNIS;19/05/2024;2024;VALE DO ANHANGABAU;20000
MILKY CHANCE;19/05/2024;2024;AUDIO;3000
GILSONS;19/05/2024;2024;ESPACO UNIMED;7000
LUISA SONZA;24/05/2024;2024;ESPACO UNIMED;7800
EDSON & HUDSON;24/05/2024;2024;TOKIO MARINE HALL;4000
URIAS;24/05/2024;2024;AUDIO;
LUISA SONZA;25/05/2024;2024;ESPACO UNIMED;7550
ANDREA BOCELLI;25/05/2024;2024;ALLIANZ PARQUE;31000
RAIMUNDOS;25/05/2024;2024;ARENA ANHEMBI;50000
ANDREA BOCELLI;26/05/2024;2024;ALLIANZ PARQUE;31000
